company_name,website,industry,company_size,summary_from_llm,target_customer,automation_pitch_from_llm
OpenAI,,,,,,
DeepMind,,,,,,
Zoho,https://www.zoho.com,Technology,Medium,Zoho is a company operating in the technology sector.,Businesses and consumers,QF Innovate could help Zoho implement AI-powered customer support automation and lead generation systems.
Freshworks,https://www.freshworks.com,Technology,Medium,Freshworks is a company operating in the technology sector.,Businesses and consumers,QF Innovate could help Freshworks implement AI-powered customer support automation and lead generation systems.
Slack,,,,,,
Notion,https://www.notion.com,Technology,Medium,Notion is a company operating in the technology sector.,Businesses and consumers,QF Innovate could help Notion implement AI-powered customer support automation and lead generation systems.
Stripe,,,,,,
Airbnb,,,,,,
Netflix,,,,,,
Spotify,,,,,,
Canva,,,,,,
Figma,https://www.figma.com,Technology,Medium,Figma is a company operating in the technology sector.,Businesses and consumers,QF Innovate could help Figma implement AI-powered customer support automation and lead generation systems.
